easting,northing,depth
356641.0955,5714599.4200,0.654176695
356641.0280,5714599.4270,0.658167556
356640.9541,5714599.4340,0.662024251
356640.8885,5714599.4410,0.666542288
356640.8226,5714599.4480,0.672643883
356640.7537,5714599.4550,0.680000495
356640.5218,5714599.4780,0.688104329
356640.3507,5714599.4950,0.696241509
356640.1811,5714599.5110,0.704423469
356640.0097,5714599.5280,0.712194145
356639.9180,5714599.5370,0.718638524
356639.8258,5714599.5470,0.723803651
356639.7354,5714599.5550,0.728012616
356639.6450,5714599.5640,0.731620118
356639.4603,5714599.5830,0.734793278
356639.3701,5714599.5920,0.737545532
356639.2779,5714599.6010,0.740250906
356639.1856,5714599.6100,0.743392406
356639.0933,5714599.6190,0.746739632
356639.0011,5714599.6280,0.750619544
356638.8983,5714599.6380,0.755765956
356638.8021,5714599.6480,0.761926953
356638.5585,5714599.6700,0.768572376
356638.4164,5714599.6830,0.775273039
356638.3373,5714599.6900,0.782063982
356638.1847,5714599.7030,0.789067912
356638.1027,5714599.7100,0.795681817
356638.0205,5714599.7180,0.801877133
356637.9402,5714599.7250,0.808128486
356637.8581,5714599.7320,0.814354063
356637.7759,5714599.7390,0.821034925
356637.6938,5714599.7470,0.828294395
356637.6146,5714599.7540,0.83575378
356637.4503,5714599.7680,0.843034159
356637.3701,5714599.7750,0.849948338
356637.2874,5714599.7820,0.856145217
356637.2039,5714599.7900,0.861399557
356637.1186,5714599.7970,0.865505599
356636.8811,5714599.8180,0.868447875
356636.7197,5714599.8320,0.87021086
356636.5587,5714599.8460,0.871074729
356636.3990,5714599.8590,0.871273874
356636.3122,5714599.8670,0.871095069
356636.2253,5714599.8740,0.870642463
356636.1418,5714599.8810,0.87014629
356635.9685,5714599.8960,0.87
356635.8816,5714599.9030,0.87
356635.7821,5714599.9120,0.870219949
356635.6951,5714599.9190,0.871347079
356635.6100,5714599.9270,0.873691482
356635.4347,5714599.9420,0.87701845
356635.1361,5714599.9830,0.881430179
356634.9969,5714600.0120,0.887180437
356634.8592,5714600.0400,0.894115642
356634.7217,5714600.0680,0.90110025
356634.5721,5714600.0990,0.907099884
356634.4983,5714600.1140,0.912050506
356634.4238,5714600.1290,0.916020908
356634.3486,5714600.1450,0.918632673
356634.2618,5714600.1620,0.919967191
356634.1885,5714600.1770,0.921002281
356634.1135,5714600.1930,0.922442697
356634.0385,5714600.2080,0.924171444
356633.9497,5714600.2260,0.92576271
356633.6614,5714600.3130,0.925945946
356633.5080,5714600.3740,0.923533717
356633.3568,5714600.4340,0.918802839
356633.2032,5714600.4950,0.912498721
356633.1227,5714600.5270,0.905146664
356633.0404,5714600.5600,0.896867996
356632.9577,5714600.5930,0.888090854
356632.8751,5714600.6260,0.879570562
356632.7945,5714600.6580,0.871673866
356632.7121,5714600.6910,0.864365303
356632.6314,5714600.7230,0.858711869
356632.5486,5714600.7550,0.855147804
356632.4665,5714600.7880,0.853489352
356632.3723,5714600.8260,0.853715126
356632.2898,5714600.8580,0.855455266
356632.2002,5714600.8940,0.858478598
356632.0084,5714601.0080,0.862654754
356631.8826,5714601.0970,0.867209092
356631.7558,5714601.1870,0.872036414
356631.6302,5714601.2770,0.877635763
356631.5619,5714601.3250,0.883727398
356631.4950,5714601.3730,0.889311406
356631.4279,5714601.4200,0.893593261
356631.3594,5714601.4690,0.896762408
356631.2910,5714601.5180,0.89964458
356631.2228,5714601.5660,0.901890915
